MSISDN_ENCR_INT,CHURN_TAG,FEATURE,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30
900100.00,0,MBB_TOTAL_USAGE,103.42419,55.76408,8.75997,10.39562,60.79919,7.33742,37.59542,78.78699,10.45611,9.12005,96.10768,41.9972,161.8166,90.78313,187.50397,29.79133,9.37187,112.31829,42.206,91.56004,52.94571,12.05129,10.21561,81.54884,36.66805,59.83295,151.18995,152.06378,234.66648,215.54503
900100.00,0,PAYG_MB_RATIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900100.00,0,REMAINING_DATA_BAL_MB,3500,3489,3489,3400,3349,3349,3317,3313,3313,3285,3215,3215,3215,3124,3091,2835,2835,2680,2669,2668,2576,2458,2458,2421,2413,2412,3526,3511,3444,3317
900100.00,0,TOTAL_REVENUE_WT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,708,0,0,0,0,0,0
900100.00,0,TOTAL_VOICE_USAGE,23.06667,15.48333,24.65,33.51667,24.06667,4.6,67.55,52.55,29.21667,23.76667,33.48333,15.48333,37.26667,15.48333,27.83333,112.46667,118.25,100.26667,45.61667,9.6,42.11667,34.85,44.21667,63.65,74.58333,45.83333,43.83333,17.66667,60.26667,31.03333
900100.00,0,WALLET_BALANCE,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0027,0.0036,0.0036,0.0036,0.0036,0.0036
900200.00,0,MBB_TOTAL_USAGE,417.22848,319.84492,578.50632,707.54045,478.11726,382.64304,791.30929,452.41913,304.42721,196.9901,749.88246,826.80134,367.56566,275.71254,424.81577,453.61158,1143.59784,834.0491,562.75728,1100.19379,926.6144,261.36942,372.2338,709.95251,435.21116,1010.96603,936.98049,644.69472,557.6902,383.57363
900200.00,0,PAYG_MB_RATIO,-0.688599000,-0.664242000,-0.690028000,-0.704662000,4.297258000,5.021073000,5.059500000,2.636123000,2.89664700,2.949408000,-0.654691000,-0.602851000,-0.509923000,-0.40254900,-0.438663000,-0.423979000,-0.44486900,-0.33232600,-0.30316400,-0.868814000,-0.868425000,-0.855997000,-0.865927000,-0.870723000,-0.864172000,14.90703800,13.85035600,12.46742100,12.34060200,13.25357200
900200.00,0,REMAINING_DATA_BAL_MB,450,33,33,0,0,238,198,190,190,147,36,245,245,230,81,11,11,2,1,1088,256,222,222,69,34,25,7,1505,1064,1011
900200.00,0,TOTAL_REVENUE_WT,0,0,197,0,0,0,0,0,0,400.0017,0,0,0,0,0,0,159,0,197,0,0,198,0,0,159.0036,197,0,0,0,0
900200.00,0,TOTAL_VOICE_USAGE,22.81667,12.38333,39.68333,21.28333,8,6.18333,6.5,5.18333,9.75,11.08333,30.28333,11.25,20.45,44.65,10.03333,10.23333,0,9.95,13.05,13.26667,0,12.03333,2.48333,6.2,9.21667,15.91667,14.4,23.9,27.6,33.38333
900200.00,0,WALLET_BALANCE,0.0014,0.0014,0.0014,0.0014,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0022,0.0032,0.0032,0.0032,0.0037,0.0037,0.0037,0.0036,0.0046,0.0046,0.0046
900300.00,0,MBB_TOTAL_USAGE,392.13775,437.98295,469.69533,361.86608,426.15513,314.02157,395.84283,433.19328,207.42131,322.81479,864.21713,788.98439,770.61349,698.25332,479.22792,476.55683,955.09993,,799.96179,960.11224,203.05048,816.35687,800.79874,704.36974,703.93483,737.9587,590.26,646.60291,196.3738,487.18018
