MSISDN_ENCR_INT,FEATURE,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30
15487293,MBB_TOTAL_USAGE,,,,305.49127,864.78783,678.38219,356.16197,405.56162,642.83569,468.58342,,,552.22411,913.10045,1228.65064,670.23219,540.57163,1003.87219,302.03778,426.55862,446.86351,400.89604,626.47102,754.56546,654.4068,860.93656,450.69491,399.8987,517.99036,455.31324
15487293,PAYG_MB_RATIO,,,,0,0,0,0,0,0,0,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
15487293,REMAINING_DATA_BAL_MB,,,,2570,2543,2540,2243,2192,2192,2181,,,2097,0,3129,3051,3051,3021,3008,2980,2905,2868,2868,2833,2790,2750,2726,2720,2491,2461
15487293,TOTAL_REVENUE_WT,,,,0,0,0,0,0,0,0,,,10.9356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15487293,TOTAL_VOICE_USAGE,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15487293,WALLET_BALANCE,,,,-25.4142,-48.7055,-48.7055,-48.7055,-48.7055,-48.7055,-48.7055,,,-49.9986,-9.9268,-48.5563,-48.5563,-48.5563,-48.5563,-48.5563,-48.5563,-48.5563,-48.5563,-48.5563,-48.5563,-48.5563,-48.5563,-48.5563,-48.5563,-48.5563,-48.5563
793712709,MBB_TOTAL_USAGE,1055.90287,2287.0846,1207.67373,91.07916,1578.91601,1684.30433,2250.68629,1678.84562,1593.99326,,,,,,,,,,,,,0,,,,,,,,
793712709,PAYG_MB_RATIO,-0.936877789,-0.947222559,-0.943522766,-0.944802038,-0.93740995,-0.940959826,-0.944613167,-0.954222679,-0.956267324,-0.954028322,-0.963344124,-0.307262887,1.422200212,8.944779632,2063.212494,2181.583328,2227.084324,0,0,0,0,0,0,0,0,0,0,0,0,0
793712709,REMAINING_DATA_BAL_MB,24098,24098,24098,24116,23588,23588,23588,23588,23588,24696,23806,23806,23806,218,218,218,218,218,218,218,218,218,218,218,0,0,0,0,0,0
793712709,TOTAL_REVENUE_WT,197,198.0251,0,0,0,0,159,395,0,,,,,,,,,,,,,0,,,,,,,,
793712709,TOTAL_VOICE_USAGE,0,58.16667,9.76667,9.86667,4.88333,38.4,60.68333,28.93333,8.35,,,,,,,,,,,,,0,,,,,,,,
793712709,WALLET_BALANCE,-32.3127,-39.9742,-39.9732,-39.9978,-39.9978,-39.9978,-39.9978,-39.9978,-39.9943,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928,-39.9928
1231003662,MBB_TOTAL_USAGE,261.01171,311.13356,228.45857,799.88657,1280.65483,74.94593,151.07719,825.06115,768.25415,1473.65306,608.68439,167.30732,959.78408,90.61587,17.01583,125.45274,421.29879,1133.95894,702.71011,317.26145,634.22831,303.21305,367.16011,13.49001,6.87786,0.091,563.29938,183.9531,16.43201,11.43161
