MSISDN_ENCR_INT,DATA_DAYS,MBB_USAGE_DROP_1,VOICE_TOTAL_REV_L30,VOICE_USAGE_DROP_1,TOTAL_REVENUE_DROP_1,ACTIVE_DATA_USER,REFILL_DROP_1,MBB_TOTAL_REV_L30,MBB_TOTAL_USAGE_L30,VOICE_USAGE_L30,LAST_BALANCE,TOTAL_REVENUE_DROP_2,AON,LM_ARPU
170706666,16,33853.22191620859,0.0,30.929364085549956,-1.0,0.0,-1.0,16.3118,0.0,13.3603,-12.9717,-1.0,30,0.0
375067183,22,19395.31974620419,47.1146,-1.0,226.618509079142,0.979781,-1.0,926.3331,0.0,0.0,-0.4975,-1.0,8,17.58067
61293827,6,18715.736290851815,5.392,14.162364308522141,36.561746608411745,0.029418,4.00113454,18.2905,1631.0602226703377,0.0,-8.0008,-1.0,6,1037.2562
336218294,29,-1.0,159.7492,-1.0,-1.0,0.0,7.1893152,15.3685,37009.41577800664,54.08117,11.0732,-1.0,10,0.0
124800643,14,-1.0,0.0,-1.0,94.56294056591173,0.0,-1.0,0.0,243.29793178391472,24.92004,6.6419,728.6760627426717,6,0.0
434427855,9,-1.0,181.5403,-1.0,-1.0,0.018135,3.55588524,0.0,27248.98368978035,531.88717,15.2046,-1.0,6,23.20649
557518907,15,-1.0,8.6632,-1.0,645.8598591191397,1.0,-1.0,0.0,2892.0708434365833,27.75269,44.5534,-1.0,88,0.0
85420116,11,28459.894649226466,458.7385,-1.0,-1.0,0.0,-1.0,0.0,941.0287113596223,57.72604,17.2472,-1.0,6,23.07582
880290413,18,-1.0,952.7705,0.777766693377253,-1.0,1.0,2.20675972,0.0,1850.519725076836,19.35237,15.982,44.861963557693436,26,32.07093
291642331,4,7343.8029196490215,2.7963,-1.0,545.7340588113989,0.840774,2.57478779,17.2833,4686.580031779711,15.39591,27.8458,150.68855544632936,123,0.0
845436865,30,6034.973293600256,0.0,79.97205117730253,-1.0,0.851828,4.55929797,15.1446,0.0,327.68231,-11.8879,-1.0,56,10.96034
710045655,14,-1.0,0.0,-0.675779927274831,-1.0,0.039538,-0.14393454,0.0,777.1249045369486,136.15429,6.5045,-1.0,81,0.0
86481794,30,4603.835971855321,66.1266,9.481857234452878,-1.0,0.026011,-1.0,15.2896,8269.426956939466,596.33696,-16.9763,-1.0,6,357.47697
974536976,17,-1.0,430.9482,7.393413078146123,1088.9135662819194,0.019192,0.01104346,0.0,4464.451784652061,10.46634,11.1695,-1.0,18,6.55722
621795264,20,-1.0,7.439,13.76077401918058,107.14723034613027,0.612575,-1.0,0.0,2048.106030826439,27.38032,11.5577,-1.0,25,4.80546
526671998,14,3172.6945965050786,2.1273,61.33091065709064,-1.0,0.034354,8.12800968,12.4261,0.0,2.24307,-1.4932,-1.0,6,99.50032
560566034,8,-1.0,0.0,6.829084458704253,-1.0,0.034572,-1.0,15.9158,232.776149106281,240.93758,-12.7861,-1.0,6,200.43869
891864083,13,8373.7298303229,10.6304,-1.0,-1.0,0.035252,-1.0,0.0,12005.67463286141,154.51438,17.2848,-1.0,6,56.45005
